"BehaviorSpace results (NetLogo 6.3.0)"
"cooperation_spatial_diversity.nlogo"
"random-local-roaming"
"10/10/2023 10:52:35:345 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","63","0","63"
"[run number]","roaming-agents","noise-factor","synergy-factor","neighborhood-type","world-size","imitation-policy","[step]","mean-cooperators1k"
"155","0","0.5","2.6","random Moore","64","fermi-dirac","2048","6.964206695556641E-4"
"154","0","0.5","2.6","random Moore","64","fermi-dirac","2048","0"
"156","0","0.5","2.6","random Moore","64","fermi-dirac","2048","0"
"157","0","0.5","2.6","random Moore","64","fermi-dirac","2048","0.0033202171325683594"
"158","0","0.5","2.6","random Moore","64","fermi-dirac","2048","0"
"160","0","0.5","2.6","random Moore","64","fermi-dirac","2048","8.471012115478516E-4"
"159","0","0.5","2.6","random Moore","64","fermi-dirac","2048","8.935928344726562E-4"
"162","0","0.5","2.6","random Moore","64","fermi-dirac","2048","0"
"161","0","0.5","2.6","random Moore","64","fermi-dirac","2048","0.0010709762573242188"
"163","0","0.5","2.6","random Moore","64","fermi-dirac","2048","0"
"164","0","0.5","2.6","random Moore","64","fermi-dirac","2048","0"
"165","0","0.5","2.6","random Moore","64","fermi-dirac","2048","7.567405700683594E-4"
"166","0","0.5","2.6","random Moore","64","fermi-dirac","2048","0"
"167","0","0.5","2.6","random Moore","64","fermi-dirac","2048","0"
"168","0","0.5","2.6","random Moore","64","fermi-dirac","2048","0"
"169","0","0.5","2.6","random Moore","64","fermi-dirac","2048","9.469985961914062E-4"
"170","0","0.5","2.6","random Moore","64","fermi-dirac","2048","0.0022292137145996094"
"172","0","0.5","2.6","random Moore","64","fermi-dirac","2048","0.00176239013671875"
"171","0","0.5","2.6","random Moore","64","fermi-dirac","2048","0"
"175","0","0.5","2.6","random Moore","64","fermi-dirac","2048","0.0018892288208007812"
"173","0","0.5","2.6","random Moore","64","fermi-dirac","2048","0.0034563541412353516"
"176","0","0.5","2.6","random Moore","64","fermi-dirac","2048","0.004246711730957031"
"174","0","0.5","2.6","random Moore","64","fermi-dirac","2048","0"
"177","0","0.5","2.6","random Moore","64","fermi-dirac","2048","0"
"180","0","0.5","2.6","random Moore","64","fermi-dirac","2048","0.001100778579711914"
"179","0","0.5","2.6","random Moore","64","fermi-dirac","2048","0"
"178","0","0.5","2.6","random Moore","64","fermi-dirac","2048","0"
"181","0","0.5","2.6","random Moore","64","fermi-dirac","2048","0.0028340816497802734"
"182","0","0.5","2.6","random Moore","64","fermi-dirac","2048","0"
"183","0","0.5","2.6","random Moore","64","fermi-dirac","2048","0"
"185","0","0.5","2.6","random Moore","64","fermi-dirac","2048","9.82522964477539E-4"
"184","0","0.5","2.6","random Moore","64","fermi-dirac","2048","9.732246398925781E-4"
"186","0","0.5","2.6","random Moore","64","fermi-dirac","2048","0.005011796951293945"
"187","0","0.5","2.6","random Moore","64","fermi-dirac","2048","0"
"189","0","0.5","2.6","random Moore","64","fermi-dirac","2048","0"
"188","0","0.5","2.6","random Moore","64","fermi-dirac","2048","0.002098560333251953"
"192","0","0.5","2.6","random Moore","64","fermi-dirac","2048","0"
"190","0","0.5","2.6","random Moore","64","fermi-dirac","2048","9.639263153076172E-4"
"191","0","0.5","2.6","random Moore","64","fermi-dirac","2048","0.002016305923461914"
"193","0","0.5","2.6","random Moore","64","fermi-dirac","2048","0.0016949176788330078"
"194","0","0.5","2.6","random Moore","64","fermi-dirac","2048","9.076595306396484E-4"
"195","0","0.5","2.6","random Moore","64","fermi-dirac","2048","0.0017452239990234375"
"198","0","0.5","2.6","random Moore","64","fermi-dirac","2048","0"
"197","0","0.5","2.6","random Moore","64","fermi-dirac","2048","0.0020177364349365234"
"196","0","0.5","2.6","random Moore","64","fermi-dirac","2048","0.0010530948638916016"
"203","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.07061409950256348"
"204","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.03374671936035156"
"201","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.04513716697692871"
"202","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.02586221694946289"
"205","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.051741838455200195"
"199","0","0.5","2.6","random Moore","64","fermi-dirac","2048","0"
"200","0","0.5","2.6","random Moore","64","fermi-dirac","2048","0"
"208","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.05259227752685547"
"207","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.08020305633544922"
"206","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.03921699523925781"
"209","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.04510354995727539"
"210","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.042583465576171875"
"211","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.07587099075317383"
"213","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.06211972236633301"
"212","0","0.5","2.7","random von Neumann","64","fermi-dirac","2048","0.046478271484375"
